,index,media_id,img_url,alt_text
33,48,3_1473437567429185538,https://pbs.twimg.com/media/FHKzqTVVEAI0bGM.jpg,Two figures stand to take a selfie photo in front of an art installation outside of a museum.
34,49,3_1473428765619355651,https://pbs.twimg.com/media/FHKrp-CVgAMuwBa.jpg,"View of an artwork installation that surrounds a museum entrance, small tiles of dichroic glass are affixed to a structure."
35,50,3_1473436678928752642,https://pbs.twimg.com/media/FHKy2laUYAIDSje.jpg,A masked child stands in front of a Roomie robot.
36,51,3_1473432063147536384,https://pbs.twimg.com/media/FHKup6SUcAAAthr.jpg,Two figures stand in front of tall digital beacons in a museum exhibition.
37,52,3_1473435753581400064,https://pbs.twimg.com/media/FHKyAuOUUAADfhK.jpg,"A child stands near the entrance of a pod, a hyperloop pod on view in a museum."
38,53,3_1473054726006591488,https://pbs.twimg.com/media/FHFXd_5VUAAQQpM.jpg,"Three figures stand in front of a sculpture wearing poof ball hats. Sculpture shaped like a fountain. It is made of many clear acrylic rods that curve out from the center and are lit. Nested amongst these lit acrylic rods, there are several hemispheric arrays of small LED lights at varying heights where visitors can speak their feeling of the future. These hemispheres of lights react to your words with different colored patterns."
39,56,3_1471865062818201607,https://pbs.twimg.com/media/FG0defKWQAc8T-3.jpg,"View of the Smithsonian’s Arts and Industries Building at night, captured with a trails of light from traffic."
40,57,3_1471524390131191812,https://pbs.twimg.com/media/FGvnougX0AQW5oM.jpg,"Marketing graphic with four portraits and the text ""futures cypher."""
41,58,3_1470507817362604032,https://pbs.twimg.com/media/FGhLEZ1VQAAtfr9.jpg,"Graphic with four portraits and the title ""Futures Cypher"""
42,59,3_1468993092929744900,https://pbs.twimg.com/media/FGLpb1mUcAQSXKx.jpg,"Designed graphic with text about a public program on the future of food, along with five portraits of speakers."
43,61,3_1468988697735401474,https://pbs.twimg.com/media/FGLlcAOVEAIIAJQ.jpg,Designed graphic for a future of food program with five small portraits and text.
44,63,3_1466169554774769664,https://pbs.twimg.com/media/FFjhcSTXwAA-l5Z.png,A collaged graphic of three portraits.
45,70,3_1464239288711790607,https://pbs.twimg.com/media/FFIF4A3WQA8-uBB.jpg,Artwork featuring a futuristic steampunk submarine resembling a squid on a dark background.
46,71,3_1463903874696290309,https://pbs.twimg.com/media/FFDU0WSXIAUg6RG.jpg,A deli case in a museum exhibit with futuristic food items and labels.
47,72,3_1463903874687848450,https://pbs.twimg.com/media/FFDU0WQWUAIPbEX.jpg,A bag of cricket flour in a deli case of a museum exhibit.
48,73,3_1463607963193688064,https://pbs.twimg.com/media/FE_HsCCXwAAyD_B.jpg,Aerial view of a museum exhibition hall with groups of visitors exploring displays.
49,79,3_1462056295473696774,https://pbs.twimg.com/media/FEpEdFVVUAYodMK.jpg,"View of an entrance to a museum exhibition, large letters spell the word ""futures"""
50,80,3_1461695268622155779,https://pbs.twimg.com/media/FEj8GjgXwAMnE4z.jpg,Exhibition installation of a museum
51,81,3_1461013929836961796,https://pbs.twimg.com/media/FEaQbavUYAQjhMd.jpg,"A group seated at the entrance of a museum, large letters spell the word “futures,” director Rachel Goslins stands speaking on a podium."
52,86,3_1459263217822146561,https://pbs.twimg.com/media/FEBYKkQVIAE3ik6.jpg,Film still with cast of The Eternals standing on a beach in a row.
53,87,3_1455241476040892417,https://pbs.twimg.com/media/FDIOaYnVIAEL4WJ.jpg,"Rendering of a museum exhibition, view of the front entrance with people in the space and large letters that spell the word ""futures""."
